rank,start_date,end_date,duration_days,peak_date,peak_k0001,peak_k001,peak_k01,peak_omega,components_json
1,1223-04-28T12:00:00Z,1223-05-16T12:00:00Z,19,1223-05-06T12:00:00Z,2,2,2,4.704870700836182,"[{""component_p"":2.4329057850991376e-05,""best_module_id"":""m021"",""best_module_label"":""Mercury\u2013Venus\u2013Mars triple node"",""families"":[""f07_2008_sep15"",""f12_1929_oct24""],""module_ids"":[""m021"",""m043""],""bodies"":[""Mercury"",""Venus"",""Mars""]},{""component_p"":8.109686314128339e-05,""best_module_id"":""m040"",""best_module_label"":""Mars/Neptune opposite Jupiter/Uranus bundle"",""families"":[""f11_1913_dec23""],""module_ids"":[""m040""],""bodies"":[""Mars"",""Neptune"",""Jupiter"",""Uranus""]}]"
2,0898-03-22T12:00:00Z,0898-04-26T12:00:00Z,36,0898-03-31T12:00:00Z,2,2,2,4.461832523345947,"[{""component_p"":4.7306501073762774e-05,""best_module_id"":""m037"",""best_module_label"":""Mercury\u2013Neptune\u2013Mars midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m037""],""bodies"":[""Mercury"",""Neptune"",""Mars""]},{""component_p"":7.298717537196353e-05,""best_module_id"":""m062"",""best_module_label"":""Apr 17 Mercury\u2013Jupiter\u2013Venus 30/60/90"",""families"":[""f15_1918_spring""],""module_ids"":[""m062""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
3,1299-10-05T12:00:00Z,1299-10-27T12:00:00Z,23,1299-10-17T12:00:00Z,1,2,3,4.371789932250977,"[{""component_p"":6.622910586884245e-05,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.00032438745256513357,""best_module_id"":""m010"",""best_module_label"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad"",""families"":[""f04_2023_oct07""],""module_ids"":[""m010""],""bodies"":[""Venus"",""Mars"",""Pluto""]},{""component_p"":0.001977411797270179,""best_module_id"":""m037"",""best_module_label"":""Mercury\u2013Neptune\u2013Mars midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m037""],""bodies"":[""Mercury"",""Neptune"",""Mars""]}]"
4,0913-05-19T12:00:00Z,0913-06-03T12:00:00Z,16,0913-05-26T12:00:00Z,1,2,3,3.3324737548828125,"[{""component_p"":7.569040462840348e-05,""best_module_id"":""m048"",""best_module_label"":""Pluto\u2013Saturn\u2013Mars midpoint"",""families"":[""f13_1947_nov29""],""module_ids"":[""m048""],""bodies"":[""Pluto"",""Saturn"",""Mars""]},{""component_p"":0.0006366103771142662,""best_module_id"":""m037"",""best_module_label"":""Mercury\u2013Neptune\u2013Mars midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m037""],""bodies"":[""Mercury"",""Neptune"",""Mars""]},{""component_p"":0.009651877917349339,""best_module_id"":""m009"",""best_module_label"":""Neptune\u2013Saturn double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m009""],""bodies"":[""Neptune"",""Saturn""]}]"
5,0196-04-23T12:00:00Z,0196-05-03T12:00:00Z,11,0196-04-28T12:00:00Z,1,2,2,4.733113765716553,"[{""component_p"":5.406457603385206e-06,""best_module_id"":""m021"",""best_module_label"":""Mercury\u2013Venus\u2013Mars triple node"",""families"":[""f07_2008_sep15""],""module_ids"":[""m021""],""bodies"":[""Mercury"",""Venus"",""Mars""]},{""component_p"":0.00034195842454209924,""best_module_id"":""m061"",""best_module_label"":""Apr 5 Saturn\u2013Neptune double node"",""families"":[""f15_1918_spring""],""module_ids"":[""m061""],""bodies"":[""Saturn"",""Neptune""]}]"
6,0643-11-14T12:00:00Z,0643-12-16T12:00:00Z,33,0643-12-03T12:00:00Z,1,2,2,4.679868221282959,"[{""component_p"":1.0812915206770413e-05,""best_module_id"":""m070"",""best_module_label"":""Neptune\u2013Uranus/Venus double-node bridge"",""families"":[""f15_1918_spring"",""f16_2020_mar11""],""module_ids"":[""m060"",""m070""],""bodies"":[""Neptune"",""Uranus"",""Venus""]},{""component_p"":0.00019328085181768984,""best_module_id"":""m010"",""best_module_label"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad"",""families"":[""f04_2023_oct07""],""module_ids"":[""m010""],""bodies"":[""Venus"",""Mars"",""Pluto""]}]"
7,0131-09-17T12:00:00Z,0131-10-10T12:00:00Z,24,0131-09-29T12:00:00Z,1,2,2,3.9700264930725098,"[{""component_p"":2.2977445041760802e-05,""best_module_id"":""m021"",""best_module_label"":""Mercury\u2013Venus\u2013Mars triple node"",""families"":[""f07_2008_sep15""],""module_ids"":[""m021""],""bodies"":[""Mercury"",""Venus"",""Mars""]},{""component_p"":0.0004663069557864219,""best_module_id"":""m070"",""best_module_label"":""Neptune\u2013Uranus/Venus double-node bridge"",""families"":[""f16_2020_mar11""],""module_ids"":[""m070""],""bodies"":[""Neptune"",""Uranus"",""Venus""]}]"
8,0710-06-17T12:00:00Z,0710-07-06T12:00:00Z,20,0710-06-30T12:00:00Z,1,2,2,3.852029323577881,"[{""component_p"":3.514197305776179e-05,""best_module_id"":""m021"",""best_module_label"":""Mercury\u2013Venus\u2013Mars triple node"",""families"":[""f07_2008_sep15""],""module_ids"":[""m021""],""bodies"":[""Mercury"",""Venus"",""Mars""]},{""component_p"":0.00040007784264162183,""best_module_id"":""m068"",""best_module_label"":""Mars\u2013Jupiter\u2013Pluto\u2013Saturn symmetric compression"",""families"":[""f13_1947_nov29"",""f16_2020_mar11""],""module_ids"":[""m048"",""m068""],""bodies"":[""Mars"",""Jupiter"",""Pluto"",""Saturn""]}]"
9,1144-12-04T12:00:00Z,1145-01-04T12:00:00Z,32,1144-12-19T12:00:00Z,1,2,2,3.7515225410461426,"[{""component_p"":6.758071685908362e-05,""best_module_id"":""m054"",""best_module_label"":""Neptune\u2013Uranus\u2013Venus\u2013Mercury nested rail"",""families"":[""f14_2000_mar10""],""module_ids"":[""m054""],""bodies"":[""Neptune"",""Uranus"",""Venus"",""Mercury""]},{""component_p"":0.00026221320149488747,""best_module_id"":""m035"",""best_module_label"":""Jupiter\u2013Saturn\u2013Pluto midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m035""],""bodies"":[""Jupiter"",""Saturn"",""Pluto""]}]"
10,0463-07-30T12:00:00Z,0463-07-30T12:00:00Z,1,0463-07-30T12:00:00Z,1,2,2,3.7448582649230957,"[{""component_p"":6.758071685908362e-05,""best_module_id"":""m005"",""best_module_label"":""Mercury\u2013Saturn near-diameter"",""families"":[""f02_2026_sep17"",""f08_1775_apr19""],""module_ids"":[""m005"",""m027""],""bodies"":[""Mercury"",""Saturn""]},{""component_p"":0.000266268034465611,""best_module_id"":""m062"",""best_module_label"":""Apr 17 Mercury\u2013Jupiter\u2013Venus 30/60/90"",""families"":[""f15_1918_spring""],""module_ids"":[""m062""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
