witness,module_id,family_id,label,best_independent_date,empirical_p
W_DIR,m019,f06_2025_sep10,Dual eight-planet ladder assembly,2023-09-10T12:00:00Z,0.00010272268991684541
W_DIR,m023,f07_2008_sep15,Eight-planet assembly,2006-09-15T12:00:00Z,0.00011218399595236406
W_DIR,m029,f08_1775_apr19,Eight-planet assembly,1777-04-21T12:00:00Z,9.461300214752555e-05
W_DIR,m033,f09_1914_jun28,Eight-planet assembly,0009-11-17T12:00:00Z,0.0001094807666959241
W_DIR,m038,f10_1978_dec11,Eight-planet chained midpoint assembly,1980-12-20T12:00:00Z,0.00012975497520528734
W_DIR,m041,f11_1913_dec23,Eight-planet double-rail assembly,1915-12-24T12:00:00Z,0.0001148872179328464
W_DIR,m046,f12_1929_oct24,Eight-planet assembly,1431-08-21T12:00:00Z,8.380009239772335e-05
W_DIR,m051,f13_1947_nov29,Eight-planet chained assembly,1949-11-29T12:00:00Z,0.00010001946066040546
W_DIR,m057,f14_2000_mar10,Eight-planet 7.5-degree lattice,0453-09-01T12:00:00Z,9.326139115728438e-05
W_DIR,m071,f16_2020_mar11,Eight-planet chained assembly,1981-11-22T12:00:00Z,0.00014191950322128832
W_SHELL,m019,f06_2025_sep10,Dual eight-planet ladder assembly,0407-11-16T12:00:00Z,9.866784967016429e-05
W_SHELL,m023,f07_2008_sep15,Eight-planet assembly,0101-12-24T12:00:00Z,8.920655091060326e-05
W_SHELL,m029,f08_1775_apr19,Eight-planet assembly,1777-04-21T12:00:00Z,8.920655091060326e-05
W_SHELL,m033,f09_1914_jun28,Eight-planet assembly,0380-04-23T12:00:00Z,6.758071685908362e-05
W_SHELL,m038,f10_1978_dec11,Eight-planet chained midpoint assembly,1480-10-21T12:00:00Z,0.00014191950322128832
W_SHELL,m041,f11_1913_dec23,Eight-planet double-rail assembly,0380-11-16T12:00:00Z,8.109686314128339e-05
W_SHELL,m046,f12_1929_oct24,Eight-planet assembly,0365-01-03T12:00:00Z,7.028394611552358e-05
W_SHELL,m051,f13_1947_nov29,Eight-planet chained assembly,0346-12-02T12:00:00Z,5.5416188843082637e-05
W_SHELL,m057,f14_2000_mar10,Eight-planet 7.5-degree lattice,0453-09-03T12:00:00Z,8.244847413152456e-05
W_SHELL,m071,f16_2020_mar11,Eight-planet chained assembly,1981-11-22T12:00:00Z,0.00014056789223104715
