rank,start_date,end_date,duration_days,peak_date,peak_k0001,peak_k001,peak_k01,peak_omega,components_json
1,0446-01-11T12:00:00Z,0446-01-18T12:00:00Z,8,0446-01-15T12:00:00Z,2,2,2,5.45499324798584,"[{""component_p"":8.109685950330459e-06,""best_module_id"":""m061"",""best_module_label"":""Apr 5 Saturn\u2013Neptune double node"",""families"":[""f15_1918_spring""],""module_ids"":[""m061""],""bodies"":[""Saturn"",""Neptune""]},{""component_p"":4.325166082708165e-05,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]}]"
2,1466-03-30T12:00:00Z,1466-04-20T12:00:00Z,22,1466-04-10T12:00:00Z,1,2,3,4.971118927001953,"[{""component_p"":9.461300578550436e-06,""best_module_id"":""m010"",""best_module_label"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad"",""families"":[""f04_2023_oct07""],""module_ids"":[""m010""],""bodies"":[""Venus"",""Mars"",""Pluto""]},{""component_p"":0.0006109296809881926,""best_module_id"":""m043"",""best_module_label"":""Uranus opposite Mercury/Venus gate"",""families"":[""f09_1914_jun28"",""f12_1929_oct24""],""module_ids"":[""m031"",""m043""],""bodies"":[""Uranus"",""Mercury"",""Venus""]},{""component_p"":0.0018490084912627935,""best_module_id"":""m036"",""best_module_label"":""Pluto\u2013Uranus\u2013Neptune midpoint"",""families"":[""f10_1978_dec11""],""module_ids"":[""m036""],""bodies"":[""Pluto"",""Uranus"",""Neptune""]}]"
3,2014-05-14T12:00:00Z,2014-05-22T12:00:00Z,9,2014-05-17T12:00:00Z,1,2,3,3.5547893047332764,"[{""component_p"":6.893233512528241e-05,""best_module_id"":""m062"",""best_module_label"":""Apr 17 Mercury\u2013Jupiter\u2013Venus 30/60/90"",""families"":[""f15_1918_spring""],""module_ids"":[""m062""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]},{""component_p"":0.000725816935300827,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.005571354646235704,""best_module_id"":""m070"",""best_module_label"":""Neptune\u2013Uranus/Venus double-node bridge"",""families"":[""f16_2020_mar11""],""module_ids"":[""m070""],""bodies"":[""Neptune"",""Uranus"",""Venus""]}]"
4,0970-10-28T12:00:00Z,0970-11-14T12:00:00Z,18,0970-11-05T12:00:00Z,1,2,2,4.767947673797607,"[{""component_p"":2.703228801692603e-06,""best_module_id"":""m054"",""best_module_label"":""Neptune\u2013Uranus\u2013Venus\u2013Mercury nested rail"",""families"":[""f14_2000_mar10""],""module_ids"":[""m054""],""bodies"":[""Neptune"",""Uranus"",""Venus"",""Mercury""]},{""component_p"":0.0006312039331533015,""best_module_id"":""m045"",""best_module_label"":""Jupiter\u2013Pluto\u2013Mercury\u2013Mars ladder"",""families"":[""f12_1929_oct24""],""module_ids"":[""m045""],""bodies"":[""Jupiter"",""Pluto"",""Mercury"",""Mars""]}]"
5,0643-10-03T12:00:00Z,0643-12-11T12:00:00Z,70,0643-12-03T12:00:00Z,1,2,2,4.369821548461914,"[{""component_p"":1.0812915206770413e-05,""best_module_id"":""m070"",""best_module_label"":""Neptune\u2013Uranus/Venus double-node bridge"",""families"":[""f15_1918_spring"",""f16_2020_mar11""],""module_ids"":[""m060"",""m070""],""bodies"":[""Neptune"",""Uranus"",""Venus""]},{""component_p"":0.00039467139868065715,""best_module_id"":""m010"",""best_module_label"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad"",""families"":[""f04_2023_oct07""],""module_ids"":[""m010""],""bodies"":[""Venus"",""Mars"",""Pluto""]}]"
6,0196-04-23T12:00:00Z,0196-05-03T12:00:00Z,11,0196-04-28T12:00:00Z,1,2,2,4.2424726486206055,"[{""component_p"":8.109685950330459e-06,""best_module_id"":""m021"",""best_module_label"":""Mercury\u2013Venus\u2013Mars triple node"",""families"":[""f07_2008_sep15""],""module_ids"":[""m021""],""bodies"":[""Mercury"",""Venus"",""Mars""]},{""component_p"":0.0007055426831357181,""best_module_id"":""m061"",""best_module_label"":""Apr 5 Saturn\u2013Neptune double node"",""families"":[""f15_1918_spring""],""module_ids"":[""m061""],""bodies"":[""Saturn"",""Neptune""]}]"
7,1223-04-26T12:00:00Z,1223-05-09T12:00:00Z,14,1223-05-06T12:00:00Z,1,2,2,4.191751480102539,"[{""component_p"":5.947103272774257e-05,""best_module_id"":""m021"",""best_module_label"":""Mercury\u2013Venus\u2013Mars triple node"",""families"":[""f07_2008_sep15"",""f12_1929_oct24""],""module_ids"":[""m021"",""m043""],""bodies"":[""Mercury"",""Venus"",""Mars""]},{""component_p"":0.00010812914842972532,""best_module_id"":""m040"",""best_module_label"":""Mars/Neptune opposite Jupiter/Uranus bundle"",""families"":[""f11_1913_dec23""],""module_ids"":[""m040""],""bodies"":[""Mars"",""Neptune"",""Jupiter"",""Uranus""]}]"
8,0114-06-06T12:00:00Z,0114-06-26T12:00:00Z,21,0114-06-20T12:00:00Z,1,2,2,3.527815341949463,"[{""component_p"":2.9735516363871284e-05,""best_module_id"":""m026"",""best_module_label"":""Pluto\u2013Mercury\u2013Uranus 60+60=120"",""families"":[""f08_1775_apr19""],""module_ids"":[""m026""],""bodies"":[""Pluto"",""Mercury"",""Uranus""]},{""component_p"":0.0009974914137274027,""best_module_id"":""m062"",""best_module_label"":""Apr 17 Mercury\u2013Jupiter\u2013Venus 30/60/90"",""families"":[""f15_1918_spring""],""module_ids"":[""m062""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
9,0805-03-02T12:00:00Z,0805-04-09T12:00:00Z,39,0805-03-15T12:00:00Z,1,2,2,3.515317916870117,"[{""component_p"":4.0548431570641696e-05,""best_module_id"":""m009"",""best_module_label"":""Neptune\u2013Saturn double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m009""],""bodies"":[""Neptune"",""Saturn""]},{""component_p"":0.0007528492133133113,""best_module_id"":""m049"",""best_module_label"":""Mars\u2013Venus\u2013Uranus 60/120/180 gate"",""families"":[""f13_1947_nov29""],""module_ids"":[""m049""],""bodies"":[""Mars"",""Venus"",""Uranus""]}]"
10,0710-06-15T12:00:00Z,0710-07-06T12:00:00Z,22,0710-06-30T12:00:00Z,1,2,2,3.45999813079834,"[{""component_p"":8.785493264440447e-05,""best_module_id"":""m021"",""best_module_label"":""Mercury\u2013Venus\u2013Mars triple node"",""families"":[""f07_2008_sep15""],""module_ids"":[""m021""],""bodies"":[""Mercury"",""Venus"",""Mars""]},{""component_p"":0.00039467139868065715,""best_module_id"":""m068"",""best_module_label"":""Mars\u2013Jupiter\u2013Pluto\u2013Saturn symmetric compression"",""families"":[""f16_2020_mar11""],""module_ids"":[""m068""],""bodies"":[""Mars"",""Jupiter"",""Pluto"",""Saturn""]}]"
