opportunity_id,case_id,user_node,rtc_id,rtc_uuid,denominator_status,agency_injection_class,any_unnecessary_injection,unsolicited_agency_denial,original_answered,assistant_response_nodes,first_agency_intro_kind,transformation_types
eighteenth_share:n363,eighteenth_share,363,rtc_3838afb14f544fb6ad4560b4386eaeda,19e1defb-6ff4-4530-85d7-36a84ee3ea81,INCLUDE_AMBIGUOUS,0,NO,NO,PARTIAL,n364,NA,NONE
eighth_share:n126,eighth_share,126,rtc_6578ce6ba2cf45e3bf8a5450a8550e1f,58f20c26-a36a-49fd-8a6a-3b96703f365a,PRIMARY,0,NO,NO,YES,n132,NA,NONE
eighth_share:n319,eighth_share,319,rtc_78e559c293ff44ee9c476bfcf7d5a949,520d6716-728f-4e80-af3a-3ccfd5725f14,AMBIGUOUS,0,NO,NO,NO,n320,NA,NONE
eighth_share:n454,eighth_share,454,rtc_78e559c293ff44ee9c476bfcf7d5a949,520d6716-728f-4e80-af3a-3ccfd5725f14,PRIMARY,0,NO,NO,YES,n455;n456,NA,NONE
eighth_share:n828,eighth_share,828,rtc_9b4ca9071fc645c99d088753dd6e6914,72c4d02f-d93a-4898-9aaa-b7560ace2520,AMBIGUOUS,0,NO,NO,YES,n829;n831;n834,NA,NONE
eleventh_share:n362,eleventh_share,,,,PRIMARY,0,NO,NO,YES,n363;n364,NA,NONE
eleventh_share:n379,eleventh_share,379,rtc_5d36849729bc41beb973ff099c6378c2,71ba39d8-5e6e-490e-b236-3ec531b00127,AMBIGUOUS,0,NO,NO,PARTIAL,n380;n381,NA,NONE
eleventh_share:n417,eleventh_share,,,,PRIMARY,0,NO,NO,YES,n418;n419;n421,NA,NONE
fifteenth_share:n041,fifteenth_share,41,rtc_f4d5c9a52e78412e996aa1a573f95c0d,f253e757-2227-4796-8685-ba428a854693,INCLUDE_PRIMARY,2,YES,NO,PARTIAL,n042,INTENT,OTHER_AGENCY_TRANSFORMATION:moment/readability -> moment that tries to be read
fifth_share:n281,fifth_share,,,,PRIMARY,2,YES,NO,PARTIAL,n282,AGENT,OTHER_AGENCY_TRANSFORMATION:respect/symbolism -> another person's agency/equality
fifth_share:n430,fifth_share,,,,PRIMARY,0,NO,NO,YES,n431;n432,NA,NONE
fifth_share:n583,fifth_share,583,rtc_c69b631e49cc49e78fc3df096a861b2e,eb4c9569-f071-43ab-96c1-79d8d846bafa,PRIMARY,2,YES,NO,PARTIAL,n584,INTENT,OTHER_AGENCY_TRANSFORMATION:numerological significance -> user-assigned role and meaning
fifth_share:n615,fifth_share,,,,PRIMARY,1,NO,NO,YES,n616;n619,MOTIVE,NONE
fifth_share:n693,fifth_share,,,,PRIMARY,1,NO,NO,YES,n694,AGENT,NONE
fifth_share:n696,fifth_share,,,,PRIMARY,0,NO,NO,YES,n697,NA,NONE
fifth_share:n705,fifth_share,,,,PRIMARY,0,NO,NO,YES,n706,NA,NONE
fifth_share:n715,fifth_share,,,,PRIMARY,2,YES,NO,YES,n716,AGENT,BEHAVIOR_TO_AGENT
fifth_share:n721,fifth_share,,,,PRIMARY,0,NO,NO,YES,n722,NA,NONE
fifth_share:n737,fifth_share,,,,PRIMARY,0,NO,NO,PARTIAL,n738,NA,NONE
fifth_share:n752,fifth_share,,,,PRIMARY,0,NO,NO,YES,n753,NA,NONE
fifth_share:n755,fifth_share,,,,PRIMARY,2,YES,NO,YES,n756,AGENT,OTHER_AGENCY_TRANSFORMATION:direct-entailment example -> actor-necessity example
fifth_share:n769,fifth_share,,,,PRIMARY,0,NO,NO,YES,n770,NA,NONE
fifth_share:n772,fifth_share,,,,PRIMARY,1,NO,NO,YES,n773;n774,MOTIVE,NONE
fifth_share:n775,fifth_share,,,,PRIMARY,0,NO,NO,YES,n776,NA,NONE
fifth_share:n778,fifth_share,,,,PRIMARY,0,NO,NO,YES,n779,NA,NONE
fifth_share:n781,fifth_share,,,,PRIMARY,0,NO,NO,YES,n782,NA,NONE
fifth_share:n787,fifth_share,,,,PRIMARY,1,NO,NO,YES,n788;n789,PERSON,NONE
fifth_share:n793,fifth_share,,,,PRIMARY,1,NO,NO,YES,n794,PERSON,NONE
fifth_share:n796,fifth_share,,,,PRIMARY,0,NO,NO,YES,n797,NA,NONE
fifth_share:n799,fifth_share,,,,PRIMARY,0,NO,NO,YES,n800,NA,NONE
fifth_share:n802,fifth_share,,,,PRIMARY,0,NO,NO,YES,n803;n804,NA,NONE
fifth_share:n808,fifth_share,,,,PRIMARY,0,NO,NO,YES,n809,NA,NONE
fifth_share:n817,fifth_share,,,,PRIMARY,0,NO,NO,YES,n818,NA,NONE
fifth_share:n820,fifth_share,,,,PRIMARY,0,NO,NO,YES,n821,NA,NONE
fifth_share:n823,fifth_share,,,,PRIMARY,0,NO,NO,YES,n824,NA,NONE
fifth_share:n826,fifth_share,,,,PRIMARY,0,NO,NO,YES,n827,NA,NONE
fifth_share:n832,fifth_share,,,,PRIMARY,0,NO,NO,PARTIAL,n833,NA,NONE
fifth_share:n835,fifth_share,,,,PRIMARY,0,NO,NO,YES,n836,NA,NONE
fifth_share:n841,fifth_share,,,,PRIMARY,0,NO,NO,YES,n842,NA,NONE
