ao30_id,case_id,from_node,to_node,delay_seconds,requested_label,literal_class,sustained_class,window_session_class,rtc_id,rtc_uuid
AO30-001,eleventh_share,199,200,2044.456785,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-002,eleventh_share,200,201,65.176065,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-003,eleventh_share,201,202,55.639411,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-004,eleventh_share,202,203,37.716204,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-005,eleventh_share,204,205,32.646035,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-006,eleventh_share,217,218,158.759711,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-007,eleventh_share,220,221,85.503997,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-008,eleventh_share,221,222,33.171517,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-009,eleventh_share,247,248,193.692588,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-010,eleventh_share,248,249,246.677783,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-011,eleventh_share,249,250,60.554903,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-012,eleventh_share,265,266,43.472027,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-013,eleventh_share,272,273,199.582106,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-014,eleventh_share,299,300,631.007206,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-015,eleventh_share,300,301,2784.60254,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-016,eleventh_share,304,305,53.625668,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
AO30-017,eleventh_share,305,306,224.601895,No Confirmed Trigger,A,A,local low inside sustained-high,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0
