observed_route_class,observable_route_family,rtc_sessions,cases,episodes,ao30_events,checking_nodes,work_status_nodes,preamble_nodes,reasoning_recap_nodes,thoughts_nodes,system_nodes,model_context_nodes,hidden_nodes,agency_opportunities,agency_injections,agency_denial_sidecars,agency_injection_rate,agency_denial_rate,stage_feature_total
OBSROUTE-455a4bc378,thoughts+reasoning_recap+preamble+hidden+checking+work_status,3,2,123,4,5,7,10,9,14,0,0,8,7,1,1,0.14285714285714285,0.14285714285714285,53
OBSROUTE-8106623f99,preamble+hidden+checking+work_status,1,1,38,2,17,15,11,0,0,0,0,6,0,0,0,,,49
OBSROUTE-e6601b7eec,hidden+checking+work_status,1,1,63,11,19,8,0,0,0,0,0,4,1,0,0,0.0,0.0,31
OBSROUTE-b50c7dde0a,thoughts+reasoning_recap+preamble+checking,2,2,156,2,5,0,4,7,7,0,0,0,25,7,6,0.28,0.24,23
OBSROUTE-711a908a6b,thoughts+reasoning_recap+preamble+model_context+system+hidden+checking,1,1,22,1,3,0,2,2,3,3,1,5,1,0,0,0.0,0.0,19
OBSROUTE-a2cad87f19,thoughts+reasoning_recap+preamble+hidden+checking+work_status,1,1,34,2,1,2,1,2,7,0,0,3,0,0,0,,,16
OBSROUTE-dbc178b292,thoughts+reasoning_recap+preamble+checking,1,1,15,3,4,0,3,4,4,0,0,0,0,0,0,,,15
OBSROUTE-a517e7503c,thoughts+reasoning_recap+preamble+hidden+checking,1,1,93,4,2,0,2,5,4,0,0,1,0,0,0,,,14
OBSROUTE-7d0e1d5d40,thoughts+reasoning_recap+preamble+checking+work_status,1,1,110,1,2,1,3,3,3,0,0,0,1,0,0,0.0,0.0,12
OBSROUTE-a29bb5fd89,preamble+hidden+work_status,2,2,203,2,0,4,3,0,0,0,0,3,2,1,0,0.5,0.0,10
OBSROUTE-4f127dbd4f,thoughts+reasoning_recap+preamble+checking+work_status,1,1,88,1,1,2,3,2,1,0,0,0,1,1,0,1.0,0.0,9
OBSROUTE-57fe30a2de,reasoning_recap+model_context+system+hidden,1,1,49,1,0,0,0,1,0,3,1,4,1,0,0,0.0,0.0,9
OBSROUTE-4d5b3a19e3,model_context+system+hidden,1,1,22,12,0,0,0,0,0,2,1,3,0,0,0,,,6
OBSROUTE-c6e8a73c42,checking+work_status,1,1,57,1,5,1,0,0,0,0,0,0,0,0,0,,,6
OBSROUTE-77d01b217c,system+hidden+work_status,1,1,34,23,0,1,0,0,0,2,0,2,0,0,0,,,5
OBSROUTE-23445ac03f,thoughts+reasoning_recap+preamble+work_status,1,1,2,5,0,2,1,1,1,0,0,0,1,1,0,1.0,0.0,5
OBSROUTE-d63c1a3022,thoughts+reasoning_recap+hidden,1,1,78,1,0,0,0,1,3,0,0,1,1,1,1,1.0,1.0,5
OBSROUTE-fba3c1ff75,reasoning_recap+preamble+checking,1,1,96,2,1,0,2,1,0,0,0,0,0,0,0,,,4
OBSROUTE-553114c217,preamble,1,1,110,1,0,0,1,0,0,0,0,0,7,0,0,0.0,0.0,1
OBSROUTE-92614474aa,hidden,1,1,135,1,0,0,0,0,0,0,0,1,0,0,0,,,1
OBSROUTE-8c083c1873,no_exposed_stage_in_AO30,3,3,114,3,0,0,0,0,0,0,0,0,0,0,0,,,0
