case_id,rtc_id,rtc_uuid,min_node,max_node,episode_count,observed_route_class,observable_route_family,ao30_events,ao30_max_delay_seconds,checking_nodes,work_status_nodes,preamble_nodes,reasoning_recap_nodes,thoughts_nodes,system_nodes,model_editable_context_nodes,visually_hidden_nodes,redacted_nodes,agency_opportunities_mapped,agency_injections,agency_denial_sidecars,agency_injection_rate
seventeenth_share,rtc_5057a29e01fc4067b1088d396a142a5a,efbbfce2-fe9a-4fb7-96ff-18c5717914bc,19,97,4,OBSROUTE-455a4bc378,thoughts+reasoning_recap+preamble+hidden+checking+work_status,2,66.077073,1,2,4,5,8,0,0,1,0,4,0,0,0.0
seventh_share,rtc_f607bb5acc5b485eaed6b195c99959b1,3acc5444-d49d-4ee2-80b6-e6cf13f48673,440,681,34,OBSROUTE-a2cad87f19,thoughts+reasoning_recap+preamble+hidden+checking+work_status,2,121.175366,1,2,1,2,7,0,0,3,2,0,0,0,
seventeenth_share,rtc_c605a2fe0cb3477f9098624a35c113c2,d98c3bdd-9d6c-4bf8-a4ec-2dd456952ef1,822,921,10,OBSROUTE-455a4bc378,thoughts+reasoning_recap+preamble+hidden+checking+work_status,1,77.36399,1,2,1,3,5,0,0,1,0,0,0,0,
seventh_share,rtc_d76a7459513844cfb7e191829e1a19d9,46ca0fec-43d9-4519-b885-6b71cfd7aba1,1350,2002,93,OBSROUTE-a517e7503c,thoughts+reasoning_recap+preamble+hidden+checking,4,93.703696,2,0,2,5,4,0,0,1,0,0,0,0,
twentieth_share,rtc_353453a5a77e4c46af5af8fb7bb9b63a,a6830805-fcb6-40c7-90e9-04ef5b7b3af5,299,403,15,OBSROUTE-dbc178b292,thoughts+reasoning_recap+preamble+checking,3,147.905883,4,0,3,4,4,0,0,0,2,0,0,0,
office_metaphor,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,4,753,108,OBSROUTE-b50c7dde0a,thoughts+reasoning_recap+preamble+checking,1,34.293394,4,0,3,4,4,0,0,0,0,24,7,6,0.2916666666666667
eighth_share,rtc_9b4ca9071fc645c99d088753dd6e6914,72c4d02f-d93a-4898-9aaa-b7560ace2520,504,1095,110,OBSROUTE-7d0e1d5d40,thoughts+reasoning_recap+preamble+checking+work_status,1,30.146708,2,1,3,3,3,0,0,0,0,1,0,0,0.0
test4,rtc_d305d6313f9a4266be6da78e277c6c8c,346a5a0b-2e8c-4a6f-995e-f295e0dce039,33,496,48,OBSROUTE-b50c7dde0a,thoughts+reasoning_recap+preamble+checking,1,41.684695,1,0,1,3,3,0,0,0,0,1,0,0,0.0
seventh_share,rtc_82044b89e0ba40a8a44836d066980909,2926e79a-7012-485d-b255-f27621f44152,2098,2245,22,OBSROUTE-711a908a6b,thoughts+reasoning_recap+preamble+model_context+system+hidden+checking,1,249.779635,3,0,2,2,3,3,1,5,1,1,0,0,0.0
seventh_share,rtc_b4716960dd144c349161d83fd1dee7e9,af2dd43c-089f-4af0-b0fc-86f60abaaad2,845,1347,78,OBSROUTE-d63c1a3022,thoughts+reasoning_recap+hidden,1,30.937759,0,0,0,1,3,0,0,1,2,1,1,1,1.0
fifth_share,rtc_c69b631e49cc49e78fc3df096a861b2e,eb4c9569-f071-43ab-96c1-79d8d846bafa,227,674,88,OBSROUTE-4f127dbd4f,thoughts+reasoning_recap+preamble+checking+work_status,1,36.544582,1,2,3,2,1,0,0,0,2,1,1,0,1.0
fourth_share,rtc_899ff77131ce4921a0aea407dcf550d9,627cd0b0-69fc-40be-81e0-8916e85b116c,4,614,109,OBSROUTE-455a4bc378,thoughts+reasoning_recap+preamble+hidden+checking+work_status,1,30.978536,3,3,5,1,1,0,0,6,0,3,1,1,0.3333333333333333
seventh_share,rtc_949c126f53694242b25b8372cb85ad15,27a2abd4-e822-4ee5-aa05-2da7c37d40e0,2005,2097,2,OBSROUTE-23445ac03f,thoughts+reasoning_recap+preamble+work_status,5,131.852799,0,2,1,1,1,0,0,0,0,1,1,0,1.0
thirteenth_share,rtc_d3e9a9fe507b48ec92266f26841b0490,c1b4e38f-3c95-4181-b541-cafe2bf954b9,13,572,96,OBSROUTE-fba3c1ff75,reasoning_recap+preamble+checking,2,1328.005552,1,0,2,1,0,0,0,0,0,0,0,0,
sixteenth_share,rtc_5aa42bc023554ee7a34bfab5b5d1021d,3fc84e28-746d-4e5f-865b-f85f7c73de2f,15,397,49,OBSROUTE-57fe30a2de,reasoning_recap+model_context+system+hidden,1,767.310835,0,0,0,1,0,3,1,4,1,1,0,0,0.0
