case_id,rtc_id,rtc_uuid,min_node,max_node,episode_count,first_timestamp,last_timestamp,ao30_window_unique_nodes,checking_nodes,work_status_nodes,preamble_nodes,visually_hidden_nodes,redacted_nodes,reasoning_recap_nodes,thoughts_nodes,model_editable_context_nodes,system_nodes,tool_nodes,ao30_events,ao30_confirmed_trigger,ao30_no_confirmed_trigger,ao30_max_delay_seconds,ao30_median_delay_seconds,ao30_literal_classes,ao30_sustained_classes,agency_opportunities_mapped,agency_injections,agency_denial_sidecars,agency_class2,agency_class3,agency_response_checking,stage_signature,observed_route_class,route_class_scope
eighteenth_share,rtc_42358be84c144a35b19faad1fdbb7c23,da847d6b-8721-4153-8f62-fdebb56c12b9,11,315,29,OBSERVED(2026-08-12T14:38:44.942295+00:00),OBSERVED(2026-08-12T15:18:23.443203+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
eighteenth_share,rtc_3838afb14f544fb6ad4560b4386eaeda,19e1defb-6ff4-4530-85d7-36a84ee3ea81,316,409,21,OBSERVED(2026-08-12T15:26:44.086074+00:00),OBSERVED(2026-08-12T15:39:19.327820+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,1,0,0,0,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
eighth_share,rtc_6578ce6ba2cf45e3bf8a5450a8550e1f,58f20c26-a36a-49fd-8a6a-3b96703f365a,24,177,21,OBSERVED(2026-08-13T10:53:15.319644+00:00),OBSERVED(2026-08-13T11:08:56.701991+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,1,0,0,0,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
eighth_share,rtc_78e559c293ff44ee9c476bfcf7d5a949,520d6716-728f-4e80-af3a-3ccfd5725f14,186,501,51,OBSERVED(2026-08-13T11:18:37.934164+00:00),OBSERVED(2026-08-13T11:55:46.564000+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,2,0,0,0,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
eighth_share,rtc_9b4ca9071fc645c99d088753dd6e6914,72c4d02f-d93a-4898-9aaa-b7560ace2520,504,1095,110,OBSERVED(2026-08-13T12:35:16.624561+00:00),OBSERVED(2026-08-13T13:58:00.696331+00:00),21,2,1,3,0,0,3,3,0,0,0,1,0,1,30.146708,30.146708,A,A,1,0,0,0,0,1,THOUGHTS|REASONING_RECAP|PREAMBLE|CHECKING|WORK_STATUS,OBSROUTE-7d0e1d5d40,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
eighth_share,rtc_05fed56a0d45434097f44029055406cd,8f1c9693-30e8-4fe3-8e04-57a73bff0e42,1096,1222,13,OBSERVED(2026-08-13T14:14:59.372863+00:00),OBSERVED(2026-08-13T14:43:34.795322+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
eighth_share,rtc_df761304dbe646afb43bde31a488a5ce,2a99880a-6f4f-4187-bea3-eb30615a3190,1225,1372,23,OBSERVED(2026-08-13T14:53:19.245270+00:00),OBSERVED(2026-08-13T15:29:27.974936+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
eleventh_share,rtc_e1adb8a3d2514349814e3b3311f066f9,8c24a98d-84df-4e32-8eac-cbb3a9212dd0,13,347,34,OBSERVED(2026-08-02T21:12:37.902448+00:00),OBSERVED(2026-08-02T22:49:15.712779+00:00),142,0,1,0,2,0,0,0,0,2,0,23,0,23,2784.60254,86.751666,A,A,0,0,0,0,0,0,SYSTEM|VISUALLY_HIDDEN|WORK_STATUS,OBSROUTE-77d01b217c,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
eleventh_share,rtc_5d36849729bc41beb973ff099c6378c2,71ba39d8-5e6e-490e-b236-3ec531b00127,348,790,63,OBSERVED(2026-08-03T11:03:11.379411+00:00),OBSERVED(2026-08-03T12:17:29.925514+00:00),173,19,8,0,4,0,0,0,0,0,0,11,6,5,64.151691,40.917345,A,A,1,0,0,0,0,0,VISUALLY_HIDDEN|CHECKING|WORK_STATUS,OBSROUTE-e6601b7eec,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
fifteenth_share,rtc_f4d5c9a52e78412e996aa1a573f95c0d,f253e757-2227-4796-8685-ba428a854693,11,66,7,OBSERVED(2026-08-10T09:42:34.213013+00:00),OBSERVED(2026-08-10T09:45:33.597050+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,1,1,0,1,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
fifteenth_share,rtc_aaf2f13996ae457f948d93fbfe9b2b90,f3d117db-50c2-4633-a59e-75d888e8fc99,67,263,31,OBSERVED(2026-08-10T09:47:48.900814+00:00),OBSERVED(2026-08-10T10:18:00.447492+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
fifth_share,rtc_98d23dbdc5e9448a84bb1a1e0a96a85e,3befe716-0953-4bc5-aacc-693941df9942,11,226,19,OBSERVED(2026-08-16T13:02:53.800309+00:00),OBSERVED(2026-08-16T13:24:37.838698+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
fifth_share,rtc_c69b631e49cc49e78fc3df096a861b2e,eb4c9569-f071-43ab-96c1-79d8d846bafa,227,674,88,OBSERVED(2026-08-16T13:28:24.672916+00:00),OBSERVED(2026-08-16T15:21:29.458004+00:00),21,1,2,3,0,2,2,1,0,0,2,1,0,1,36.544582,36.544582,A,A,1,1,0,1,0,1,THOUGHTS|REASONING_RECAP|PREAMBLE|TOOL|CHECKING|WORK_STATUS,OBSROUTE-4f127dbd4f,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
fifth_share,rtc_9fdd9b27759d4046820f6077cdee2ef9,7a855b6b-274c-4bcf-838a-7a47ee4fd108,675,887,38,OBSERVED(2026-08-16T15:32:40.911833+00:00),OBSERVED(2026-08-16T17:08:28.185706+00:00),42,17,15,11,6,0,0,0,0,0,0,2,2,0,112.877964,101.796088,A,A,0,0,0,0,0,0,PREAMBLE|VISUALLY_HIDDEN|CHECKING|WORK_STATUS,OBSROUTE-8106623f99,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
first_share,rtc_31d6da310ab8459c9ce8d45fed849099,2759271f-2a51-4fcd-bd33-ef860d7a0a5f,19,485,73,OBSERVED(2026-08-17T22:10:19.233101+00:00),OBSERVED(2026-08-17T23:29:27.763938+00:00),21,0,0,0,0,0,0,0,0,0,0,1,0,1,30.108355,30.108355,A,A,0,0,0,0,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
first_share,rtc_1660c7154ebf49d7bc24283692d4a5df,8fe3cb48-ee57-454c-ae8e-01b3735d1834,486,807,74,OBSERVED(2026-08-17T23:36:10.868994+00:00),OBSERVED(2026-08-18T01:22:14.617690+00:00),21,0,1,1,1,0,0,0,0,0,0,1,0,1,408.805522,408.805522,A,A,0,0,0,0,0,0,PREAMBLE|VISUALLY_HIDDEN|WORK_STATUS,OBSROUTE-a29bb5fd89,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
fourteenth_share,rtc_c5cd4a101002403b9bb6b886873c1480,e3b68c3e-dd8a-446c-aca0-0854a5110204,9,712,101,OBSERVED(2026-08-08T12:06:14.466051+00:00),OBSERVED(2026-08-08T13:26:30.422610+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,4,0,0,0,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
fourth_share,rtc_899ff77131ce4921a0aea407dcf550d9,627cd0b0-69fc-40be-81e0-8916e85b116c,4,614,109,OBSERVED(2026-08-16T19:35:03.355719+00:00),OBSERVED(2026-08-16T21:34:29.277079+00:00),21,3,3,5,6,0,1,1,0,0,0,1,0,1,30.978536,30.978536,A,A,3,1,1,0,1,1,THOUGHTS|REASONING_RECAP|PREAMBLE|VISUALLY_HIDDEN|CHECKING|WORK_STATUS,OBSROUTE-455a4bc378,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
fourth_share,rtc_eb5ccf104c6d4a139e00556fd39f70d7,be054727-bbdb-4163-80de-a89fb729c9ff,617,767,23,OBSERVED(2026-08-16T21:37:39.806227+00:00),OBSERVED(2026-08-16T22:00:57.085841+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
fourth_share,rtc_cda956e9caa04769a2d0794a8e773c8d,ce6d6c62-2c2f-4e2f-82ae-dcadd78bd589,770,1340,129,OBSERVED(2026-08-16T22:09:09.110191+00:00),OBSERVED(2026-08-17T00:07:09.521505+00:00),21,0,3,2,2,0,0,0,0,0,0,1,1,0,30.816281,30.816281,A,A,2,1,0,1,0,0,PREAMBLE|VISUALLY_HIDDEN|WORK_STATUS,OBSROUTE-a29bb5fd89,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
nineteenth_share,rtc_b36767717f0c4dfc94b3263257513824,92d5db35-79fd-4c43-a1c2-9d57fd6b05ec,11,402,28,OBSERVED(2026-08-12T16:07:27.311829+00:00),OBSERVED(2026-08-12T17:11:04.545715+00:00),21,0,0,0,0,0,0,0,0,0,0,1,0,1,56.809554,56.809554,B,B,0,0,0,0,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
ninth_share,rtc_692ada2ea5ca4365982d0fd459e01ca7,c66bb007-f8c4-4a94-9f83-547676deff0f,9,171,18,OBSERVED(2026-08-13T03:14:25.026963+00:00),OBSERVED(2026-08-13T03:34:05.666741+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,1,0,0,0,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
ninth_share,rtc_95f0b049c0d949209977b2b36d4458ea,01e363d6-ed57-4b82-9d40-18798060462a,172,847,89,OBSERVED(2026-08-13T03:37:59.356025+00:00),OBSERVED(2026-08-13T05:06:38.984089+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,2,1,0,1,0,1,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
ninth_share,rtc_234425f82f5249e1b16bf7f1d916bec6,55322d3e-bf75-4952-b14b-4583444396ef,848,964,18,OBSERVED(2026-08-13T05:16:14.485451+00:00),OBSERVED(2026-08-13T05:38:39.702125+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
office_metaphor,rtc_d74aa50c85f74a8aa72675ddc16526aa,591ff9b1-9d07-408d-8146-dc767addb93b,4,753,108,OBSERVED(2026-08-14T01:49:05.968650+00:00),OBSERVED(2026-08-14T03:35:34.044282+00:00),21,4,0,3,0,0,4,4,0,0,0,1,0,1,34.293394,34.293394,A,A,24,7,6,1,6,15,THOUGHTS|REASONING_RECAP|PREAMBLE|CHECKING,OBSROUTE-b50c7dde0a,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
office_metaphor,rtc_7eabf3e1c64140359287857e5f8059af,bb205e8d-6155-473b-b7a0-64904105c91c,755,931,34,OBSERVED(2026-08-14T03:39:34.152565+00:00),OBSERVED(2026-08-14T04:01:08.239282+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,2,0,0,0,0,1,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
seventeenth_share,rtc_5057a29e01fc4067b1088d396a142a5a,efbbfce2-fe9a-4fb7-96ff-18c5717914bc,19,97,4,OBSERVED(2026-08-14T20:44:53.120088+00:00),OBSERVED(2026-08-14T21:01:05.183316+00:00),32,1,2,4,1,0,5,8,0,0,0,2,1,1,66.077073,50.509403,A,A,4,0,0,0,0,2,THOUGHTS|REASONING_RECAP|PREAMBLE|VISUALLY_HIDDEN|CHECKING|WORK_STATUS,OBSROUTE-455a4bc378,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
seventeenth_share,rtc_297e8b9bcdb64ba2ab24f9ca4c2eda68,81a2cd31-3e39-4ff5-ba14-a402e4efacfd,101,171,13,OBSERVED(2026-08-14T21:08:31.660833+00:00),OBSERVED(2026-08-14T21:21:39.273032+00:00),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,0,0,0,0,0,0,NO_STAGE_TYPE_OBSERVED_IN_AO30_WINDOWS,OBSROUTE-8c083c1873,EXPOSED_STAGE_TYPES_IN_AO30_WINDOWS_ONLY
