observed_route_class,observable_route_family,rtc_sessions,cases,rtc_ids,case_ids,ao30_events,max_delay_seconds,stage_burden_max,checking_nodes,work_status_nodes,preamble_nodes,reasoning_recap_nodes,thoughts_nodes,system_nodes,model_context_nodes,agency_opportunities,agency_injections,agency_denials,agency_injection_rate,agency_denial_rate,recurs_across_sessions,recurs_across_cases,candidate_priority_score
OBSROUTE-455a4bc378,thoughts+reasoning_recap+preamble+hidden+checking+work_status,3,2,rtc_5057a29e01fc4067b1088d396a142a5a | rtc_899ff77131ce4921a0aea407dcf550d9 | rtc_c605a2fe0cb3477f9098624a35c113c2,fourth_share | seventeenth_share,4,77.36399,5,5,7,10,9,14,0,0,7,1,1,0.14285714285714285,0.14285714285714285,True,True,13
OBSROUTE-b50c7dde0a,thoughts+reasoning_recap+preamble+checking,2,2,rtc_d305d6313f9a4266be6da78e277c6c8c | rtc_d74aa50c85f74a8aa72675ddc16526aa,office_metaphor | test4,2,41.684695,4,5,0,4,7,7,0,0,25,7,6,0.28,0.24,True,True,13
OBSROUTE-a29bb5fd89,preamble+hidden+work_status,2,2,rtc_1660c7154ebf49d7bc24283692d4a5df | rtc_cda956e9caa04769a2d0794a8e773c8d,first_share | fourth_share,2,408.805522,2,0,4,3,0,0,0,0,2,1,0,0.5,0.0,True,True,8
OBSROUTE-8c083c1873,no_exposed_stage_in_AO30,3,3,rtc_31d6da310ab8459c9ce8d45fed849099 | rtc_b36767717f0c4dfc94b3263257513824 | rtc_e6e278f0c59840bca948b24a8d20fb6d,first_share | nineteenth_share | sixth_share,3,56.809554,0,0,0,0,0,0,0,0,0,0,0,,,True,True,6
OBSROUTE-d63c1a3022,thoughts+reasoning_recap+hidden,1,1,rtc_b4716960dd144c349161d83fd1dee7e9,seventh_share,1,30.937759,2,0,0,0,1,3,0,0,1,1,1,1.0,1.0,False,False,6
OBSROUTE-4f127dbd4f,thoughts+reasoning_recap+preamble+checking+work_status,1,1,rtc_c69b631e49cc49e78fc3df096a861b2e,fifth_share,1,36.544582,5,1,2,3,2,1,0,0,1,1,0,1.0,0.0,False,False,5
OBSROUTE-23445ac03f,thoughts+reasoning_recap+preamble+work_status,1,1,rtc_949c126f53694242b25b8372cb85ad15,seventh_share,5,131.852799,4,0,2,1,1,1,0,0,1,1,0,1.0,0.0,False,False,4
OBSROUTE-a517e7503c,thoughts+reasoning_recap+preamble+hidden+checking,1,1,rtc_d76a7459513844cfb7e191829e1a19d9,seventh_share,4,93.703696,4,2,0,2,5,4,0,0,0,0,0,,,False,False,3
OBSROUTE-dbc178b292,thoughts+reasoning_recap+preamble+checking,1,1,rtc_353453a5a77e4c46af5af8fb7bb9b63a,twentieth_share,3,147.905883,4,4,0,3,4,4,0,0,0,0,0,,,False,False,3
OBSROUTE-a2cad87f19,thoughts+reasoning_recap+preamble+hidden+checking+work_status,1,1,rtc_f607bb5acc5b485eaed6b195c99959b1,seventh_share,2,121.175366,5,1,2,1,2,7,0,0,0,0,0,,,False,False,3
OBSROUTE-711a908a6b,thoughts+reasoning_recap+preamble+model_context+system+hidden+checking,1,1,rtc_82044b89e0ba40a8a44836d066980909,seventh_share,1,249.779635,6,3,0,2,2,3,3,1,1,0,0,0.0,0.0,False,False,3
OBSROUTE-7d0e1d5d40,thoughts+reasoning_recap+preamble+checking+work_status,1,1,rtc_9b4ca9071fc645c99d088753dd6e6914,eighth_share,1,30.146708,5,2,1,3,3,3,0,0,1,0,0,0.0,0.0,False,False,3
OBSROUTE-fba3c1ff75,reasoning_recap+preamble+checking,1,1,rtc_d3e9a9fe507b48ec92266f26841b0490,thirteenth_share,2,1328.005552,3,1,0,2,1,0,0,0,0,0,0,,,False,False,2
OBSROUTE-e6601b7eec,hidden+checking+work_status,1,1,rtc_5d36849729bc41beb973ff099c6378c2,eleventh_share,11,64.151691,2,19,8,0,0,0,0,0,1,0,0,0.0,0.0,False,False,1
OBSROUTE-8106623f99,preamble+hidden+checking+work_status,1,1,rtc_9fdd9b27759d4046820f6077cdee2ef9,fifth_share,2,112.877964,3,17,15,11,0,0,0,0,0,0,0,,,False,False,1
OBSROUTE-57fe30a2de,reasoning_recap+model_context+system+hidden,1,1,rtc_5aa42bc023554ee7a34bfab5b5d1021d,sixteenth_share,1,767.310835,3,0,0,0,1,0,3,1,1,0,0,0.0,0.0,False,False,1
OBSROUTE-c6e8a73c42,checking+work_status,1,1,rtc_277bf2c5320642b582a68462e103d149,twelfth_share,1,31.779084,2,5,1,0,0,0,0,0,0,0,0,,,False,False,1
OBSROUTE-77d01b217c,system+hidden+work_status,1,1,rtc_e1adb8a3d2514349814e3b3311f066f9,eleventh_share,23,2784.60254,2,0,1,0,0,0,2,0,0,0,0,,,False,False,0
OBSROUTE-4d5b3a19e3,model_context+system+hidden,1,1,rtc_ed45b69c03a648aea04b1ee9f07310e9,twentieth_share,12,535.967339,2,0,0,0,0,0,2,1,0,0,0,,,False,False,0
OBSROUTE-553114c217,preamble,1,1,rtc_a1b5c7e90d2947458d828d466500e881,sixth_share,1,43.146335,1,0,0,1,0,0,0,0,7,0,0,0.0,0.0,False,False,0
OBSROUTE-92614474aa,hidden,1,1,rtc_68838024da8a4cd7aeac72f32270895b,third_share,1,62.468233,0,0,0,0,0,0,0,0,0,0,0,,,False,False,0
