rank,time_utc,omega,k01,k001,k0001,strongest_families,strongest_modules
1,1684-02-06T10:00:00Z,4.149910631918356,2,2,2,f11_1913_dec23;f08_1775_apr19;f10_1978_dec11;f07_2008_sep15;f04_2023_oct07;f16_2020_mar11,m027;m039;m037;m010;m021;m070;m054;m045
2,1594-02-21T09:05:00Z,4.68598530064976,2,2,1,f11_1913_dec23;f08_1775_apr19;f06_2025_sep10;f13_1947_nov29;f15_1918_spring;f02_2026_sep17,m039;m027;m041;m028;m065;m029;m064;m050
3,1223-05-06T17:00:00Z,4.396662064519029,2,2,1,f07_2008_sep15;f11_1913_dec23;f12_1929_oct24;f10_1978_dec11;f09_1914_jun28;f04_2023_oct07,m021;m040;m043;m037;m044;m010;m033;m069
4,1504-01-25T16:50:00Z,4.112570490771327,2,2,1,f08_1775_apr19;f11_1913_dec23;f14_2000_mar10;f04_2023_oct07;f01_2026_sep01;f05_2021_sep11,m027;m039;m026;m057;m011;m002;m016;m055
5,0643-12-03T01:05:00Z,4.0527317891388535,2,2,1,f16_2020_mar11;f04_2023_oct07;f14_2000_mar10;f13_1947_nov29;f08_1775_apr19;f11_1913_dec23,m070;m010;m054;m050;m027;m057;m041;m029
6,0279-06-09T22:00:00Z,3.609120297329316,2,2,1,f08_1775_apr19;f11_1913_dec23;f07_2008_sep15;f06_2025_sep10;f01_2026_sep01;f10_1978_dec11,m027;m039;m021;m029;m017;m028;m001;m037
7,1822-11-13T13:00:00Z,3.411876604742695,2,2,1,f11_1913_dec23;f08_1775_apr19;f04_2023_oct07;f10_1978_dec11;f03_2026_feb28;f14_2000_mar10,m039;m027;m010;m037;m054;m070;m055;m028
8,0970-11-07T10:00:00Z,3.1925420818631043,2,2,1,f14_2000_mar10;f12_1929_oct24;f10_1978_dec11;f07_2008_sep15;f11_1913_dec23;f09_1914_jun28,m054;m045;m038;m022;m039;m070;m030;m015
9,1821-03-28T07:00:00Z,3.1450083332766265,2,2,1,f14_2000_mar10;f16_2020_mar11;f07_2008_sep15;f13_1947_nov29;f15_1918_spring;f03_2026_feb28,m055;m068;m021;m048;m057;m066;m051;m070
10,0480-04-22T12:00:00Z,4.6662770820373325,4,1,1,f02_2026_sep17;f01_2026_sep01;f04_2023_oct07;f06_2025_sep10;f05_2021_sep11;f13_1947_nov29,m004;m002;m012;m019;m018;m013;m011;m003
11,0481-06-10T12:00:00Z,2.4792661128032956,4,1,1,f02_2026_sep17;f01_2026_sep01;f06_2025_sep10;f04_2023_oct07;f08_1775_apr19;f15_1918_spring,m004;m012;m002;m018;m013;m019;m011;m028
12,0479-06-28T01:05:00Z,3.369285607102828,3,1,1,f02_2026_sep17;f01_2026_sep01;f04_2023_oct07;f06_2025_sep10;f13_1947_nov29;f03_2026_feb28,m004;m002;m012;m011;m018;m048;m013;m063
13,0478-05-18T22:30:00Z,4.542671456710147,2,1,1,f02_2026_sep17;f01_2026_sep01;f06_2025_sep10;f04_2023_oct07;f05_2021_sep11;f03_2026_feb28,m004;m002;m012;m019;m011;m013;m016;m018
14,0301-02-16T14:20:00Z,4.370752126776507,2,1,1,f11_1913_dec23;f01_2026_sep01;f13_1947_nov29;f06_2025_sep10;f02_2026_sep17;f09_1914_jun28,m039;m003;m001;m049;m051;m050;m019;m066
15,1412-11-09T18:20:00Z,4.061417968323947,2,1,1,f11_1913_dec23;f08_1775_apr19;f07_2008_sep15;f01_2026_sep01;f06_2025_sep10;f05_2021_sep11,m039;m027;m021;m003;m017;m041;m029;m019
