run_id,ranking,rank,date,jd_ut,d_dir_deg,d_ref_deg,d_shell_deg,best_global_lift_deg,coherence_residual_deg,lift_gap_deg,preferred_global_branch,non_descent_score,dir_inner_deg,dir_outer_deg,dir_cross_deg,shell_inner_deg,shell_outer_deg,shell_cross_deg,pluto_chart_winding_vector,pluto_chart_max_closure_deg
CTA-TG-X773,DIRECTED_RECURRENCE,1,2024-09-03,2460556.9861152545,23.353063418,111.564934706,20.615859800,23.353063418,2.737203619,2.737203619,identity,0.132771742,3.915873343,30.687314058,19.675909730,3.915873343,26.902676788,17.543926836,Mercury:2;Venus:2;Mars:1;Jupiter:0;Saturn:0;Uranus:0;Neptune:0,50.971243350
CTA-TG-X773,DIRECTED_RECURRENCE,2,1988-06-17,2447329.9861152545,38.223964163,101.427254001,35.815437008,38.223964163,2.408527155,2.408527155,identity,0.067248297,30.814073435,45.182834261,34.299265039,30.278929345,41.815644554,32.332597383,Mercury:38;Venus:38;Mars:20;Jupiter:3;Saturn:1;Uranus:0;Neptune:0,73.038986180
CTA-TG-X773,DIRECTED_RECURRENCE,3,1885-11-20,2409865.9861152545,41.743014740,110.004773468,35.968873071,41.743014740,5.774141668,5.774141668,identity,0.160531626,29.992926039,50.314121895,37.216111537,29.992926039,43.879847127,30.846003052,Mercury:140;Venus:140;Mars:74;Jupiter:11;Saturn:4;Uranus:1;Neptune:0,71.776326654
CTA-TG-X773,DIRECTED_RECURRENCE,4,1890-02-11,2411409.9861152545,43.438565046,106.723616392,35.771121459,43.438565046,7.667443588,7.667443588,identity,0.214347308,13.968255551,56.517381432,36.793087759,13.968255551,44.800751906,31.803183749,Mercury:136;Venus:136;Mars:72;Jupiter:11;Saturn:4;Uranus:1;Neptune:0,63.351583060
CTA-TG-X773,DIRECTED_RECURRENCE,5,1986-05-12,2446562.9861152545,44.845793698,105.658801765,41.593016401,44.845793698,3.252777297,3.252777297,identity,0.078204891,41.215162305,48.423424243,43.025354526,41.215162305,41.091370828,41.998679342,Mercury:40;Venus:40;Mars:21;Jupiter:3;Saturn:1;Uranus:0;Neptune:0,86.866713358
CTA-TG-X773,DIRECTED_RECURRENCE,6,1888-01-19,2410655.9861152545,45.055623786,103.502202918,38.321295168,45.055623786,6.734328618,6.734328618,identity,0.175733325,58.100338408,42.293253135,43.837668730,33.598293770,39.631157898,38.319519637,Mercury:138;Venus:138;Mars:73;Jupiter:11;Saturn:4;Uranus:1;Neptune:0,66.096461578
CTA-TG-X773,DIRECTED_RECURRENCE,7,1990-06-29,2448071.9861152545,55.233858980,96.229631608,42.724362968,55.233858980,12.509496013,12.509496013,identity,0.292795378,51.270240551,61.840315710,51.181805237,33.563628297,52.331525933,36.828391085,Mercury:36;Venus:36;Mars:19;Jupiter:3;Saturn:1;Uranus:0;Neptune:0,69.711996814
CTA-TG-X773,DIRECTED_RECURRENCE,8,1883-11-20,2409134.9861152545,58.332292531,115.081294944,48.010897058,58.332292531,10.321395473,10.321395473,identity,0.214980267,27.360019193,73.673537665,50.827003572,27.360019193,57.037715175,44.544040485,Mercury:142;Venus:142;Mars:75;Jupiter:11;Saturn:4;Uranus:1;Neptune:0,126.019332769
CTA-TG-X773,DIRECTED_RECURRENCE,9,2023-07-13,2460138.9861152545,58.975400751,105.459100575,47.490303734,58.975400751,11.485097017,11.485097017,identity,0.241840884,79.352821159,52.291439253,58.396452037,58.837660022,45.079248011,46.506066875,Mercury:3;Venus:3;Mars:2;Jupiter:0;Saturn:0;Uranus:0;Neptune:0,88.325350254
CTA-TG-X773,DIRECTED_RECURRENCE,10,1849-11-05,2396701.9861152545,59.866323570,93.457929250,46.106916694,59.866323570,13.759406875,13.759406875,identity,0.298423921,40.410799999,73.837639346,52.238095566,33.166137076,52.196197207,43.954013472,Mercury:176;Venus:176;Mars:93;Jupiter:14;Saturn:5;Uranus:1;Neptune:0,126.224368356
CTA-TG-X773,DIRECTED_RECURRENCE,11,1892-02-02,2412130.9861152545,60.828458143,110.281269817,50.213883923,60.828458143,10.614574221,10.614574221,identity,0.211387238,11.144441037,79.853719752,51.292673735,11.144441037,65.552560875,42.627203998,Mercury:134;Venus:134;Mars:71;Jupiter:11;Saturn:4;Uranus:1;Neptune:0,92.598312425
CTA-TG-X773,DIRECTED_RECURRENCE,12,1888-12-14,2410985.9861152545,60.969934346,94.595841144,41.069451990,60.969934346,19.900482357,19.900482357,identity,0.484556803,90.981146409,45.107658119,62.666102385,53.148988161,39.568566735,39.239807396,Mercury:137;Venus:137;Mars:73;Jupiter:11;Saturn:4;Uranus:1;Neptune:0,84.786864789
CTA-TG-X773,DIRECTED_RECURRENCE,13,1851-10-17,2397412.9861152545,61.035006041,90.322868615,50.159928237,61.035006041,10.875077804,10.875077804,identity,0.216808081,15.183840016,79.453906322,51.953014450,15.183840016,62.819148030,44.940267494,Mercury:174;Venus:174;Mars:92;Jupiter:14;Saturn:5;Uranus:1;Neptune:0,119.370949129
CTA-TG-X773,SHELL_RECURRENCE,1,2024-09-05,2460558.9861152545,23.378515470,111.515669728,20.545666182,23.378515470,2.832849288,2.832849288,identity,0.137880625,3.550586328,30.563917972,19.873246319,3.550586328,26.773143948,17.537865338,Mercury:2;Venus:2;Mars:1;Jupiter:0;Saturn:0;Uranus:0;Neptune:0,50.726864716
CTA-TG-X773,SHELL_RECURRENCE,2,1814-08-15,2383835.9861152545,103.169572120,32.437295925,27.553382275,32.437295925,4.883913649,75.616189845,reflection,0.177252782,97.969858531,112.537854818,97.498352092,44.905663019,25.217753797,24.287694710,Mercury:211;Venus:211;Mars:112;Jupiter:17;Saturn:6;Uranus:2;Neptune:0,156.476669821
CTA-TG-X773,SHELL_RECURRENCE,3,1988-06-21,2447333.9861152545,38.326588319,101.479256438,35.752818583,38.326588319,2.573769737,2.573769737,identity,0.071987883,30.226714130,45.462284231,34.371316341,29.044898688,42.124148849,32.162229860,Mercury:38;Venus:38;Mars:20;Jupiter:3;Saturn:1;Uranus:0;Neptune:0,73.137974193
CTA-TG-X773,SHELL_RECURRENCE,4,1890-02-11,2411409.9861152545,43.438565046,106.723616392,35.771121459,43.438565046,7.667443588,7.667443588,identity,0.214347308,13.968255551,56.517381432,36.793087759,13.968255551,44.800751906,31.803183749,Mercury:136;Venus:136;Mars:72;Jupiter:11;Saturn:4;Uranus:1;Neptune:0,63.351583060
CTA-TG-X773,SHELL_RECURRENCE,5,1885-11-20,2409865.9861152545,41.743014740,110.004773468,35.968873071,41.743014740,5.774141668,5.774141668,identity,0.160531626,29.992926039,50.314121895,37.216111537,29.992926039,43.879847127,30.846003052,Mercury:140;Venus:140;Mars:74;Jupiter:11;Saturn:4;Uranus:1;Neptune:0,71.776326654
CTA-TG-X773,SHELL_RECURRENCE,6,1812-09-19,2383140.9861152545,105.218414512,44.338405612,36.502916192,44.338405612,7.835489420,68.715498320,reflection,0.214653793,89.395921607,113.614992957,102.282958639,52.518056804,26.611271242,38.256088398,Mercury:213;Venus:213;Mars:113;Jupiter:17;Saturn:6;Uranus:2;Neptune:0,157.568957333
CTA-TG-X773,SHELL_RECURRENCE,7,1888-01-26,2410662.9861152545,45.627852058,104.623876495,37.878843892,45.627852058,7.749008166,7.749008166,identity,0.204573513,60.831422937,42.321200380,44.182197524,35.479068875,39.431645731,37.282481117,Mercury:138;Venus:138;Mars:73;Jupiter:11;Saturn:4;Uranus:1;Neptune:0,65.965625214
CTA-TG-X773,SHELL_RECURRENCE,8,1953-05-08,2434505.9861152545,97.988790758,61.341074767,38.147828870,61.341074767,23.193245897,59.840961888,reflection,0.607983379,107.017015684,105.003473213,91.007424017,35.422626350,44.598919258,33.756252130,Mercury:73;Venus:73;Mars:39;Jupiter:6;Saturn:2;Uranus:0;Neptune:0,157.593878035
