module_id,source_group,source_iso,family_id,mode,anchor,bodies,target_offsets_deg,note
1775_P_Merc_U,1775-04-19,1775-04-19T12:00:00,F13_D_Mercury-Pluto-Uranus,directed,Pluto,"Pluto,Mercury,Uranus","65.457590,123.851272",Pluto–Mercury–Uranus 60/60/120 module
1775_Merc_U_S,1775-04-19,1775-04-19T12:00:00,F14_D_Mercury-Saturn-Uranus,directed,Mercury,"Mercury,Uranus,Saturn","58.393682,-178.421493",Mercury–Uranus–Saturn 60/120/180 module
1775_V_J_M_N,1775-04-19,1775-04-19T12:00:00,F29_D_Jupiter-Mars-Neptune-Venus,directed,Venus,"Venus,Jupiter,Mars,Neptune","-2.299093,92.253982,116.412151",Venus/Jupiter double-node connected to Mars and Neptune
1775_FULL8,1775-04-19,1775-04-19T12:00:00,F48_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Pluto,"Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto","65.457590,117.294018,-150.452000,114.994925,-112.963903,123.851272,-126.293831",Whole eight-planet assembly
1913_S_Merc_V,1913-12-23,1913-12-23T12:00:00,F15_D_Mercury-Saturn-Venus,directed,Saturn,"Saturn,Mercury,Venus","179.919052,-174.351868",Saturn opposite Mercury/Venus fork
1913_M_N_J_U,1913-12-23,1913-12-23T12:00:00,F28_D_Jupiter-Mars-Neptune-Uranus,directed,Mars,"Mars,Neptune,Jupiter,Uranus","7.821560,-176.491154,-164.131572",Paired Mars/Neptune ↔ Jupiter/Uranus rail
1913_FULL8,1913-12-23,1913-12-23T12:00:00,F49_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Pluto,"Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto","163.202725,168.931806,19.613984,-156.877170,-16.716327,-144.517588,27.435544",Whole eight-planet double rail
1914_P_N_Merc_M,1914-06-28,1914-06-28T09:45:00,F33_D_Mars-Mercury-Neptune-Pluto,directed,Pluto,"Pluto,Neptune,Mercury,Mars","26.336767,27.428862,60.516319",Pluto → Neptune/Mercury double-node → Mars
1914_V_U_M,1914-06-28,1914-06-28T09:45:00,F09_D_Mars-Uranus-Venus,directed,Venus,"Venus,Uranus,Mars","-178.844052,21.504576",Venus–Uranus diameter with Mars branch
1914_FULL8,1914-06-28,1914-06-28T09:45:00,F50_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Pluto,"Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto","27.428862,39.011743,60.516319,-128.935303,-7.158328,-139.832309,26.336767",Whole eight-planet assembly
1918A_P_Merc_N,1918-04-05,1918-04-05T12:00:00,F11_D_Mercury-Neptune-Pluto,directed,Pluto,"Pluto,Mercury,Neptune","-59.652393,30.836666",April 5 Pluto–Mercury–Neptune 30/60/90
1918A_V_U_S_N,1918-04-05,1918-04-05T12:00:00,F39_D_Neptune-Saturn-Uranus-Venus,directed,Venus,"Venus,Uranus,Saturn,Neptune","-3.309337,157.914204,154.620675",April 5 dual double-nodes
1918B_Merc_J_V,1918-04-17,1918-04-17T12:00:00,F02_D_Jupiter-Mercury-Venus,directed,Mercury,"Mercury,Jupiter,Venus","30.345790,-59.912977",April 17 Mercury–Jupiter–Venus 30/60/90
1918C_P_Merc_N,1918-05-22,1918-05-22T10:10:35,F11_D_Mercury-Neptune-Pluto,directed,Pluto,"Pluto,Mercury,Neptune","-58.521150,30.489410",May 22 Pluto–Mercury–Neptune triad
1918C_V_J_M,1918-05-22,1918-05-22T10:10:35,F01_D_Jupiter-Mars-Venus,directed,Venus,"Venus,Jupiter,Mars","61.364917,150.955180",May 22 Venus–Jupiter–Mars triad
1918C_DUAL6,1918-05-22,1918-05-22T10:10:35,F41_D_Jupiter-Mars-Mercury-Neptune-Pluto-Venus,directed,Pluto,"Pluto,Mercury,Neptune,Venus,Jupiter,Mars","-58.521150,30.489410,-77.368540,-16.003623,73.586640",May 22 simultaneous dual-triad assembly
1918D_M_J_V_U,1918-05-28,1918-05-28T12:00:00,F31_D_Jupiter-Mars-Uranus-Venus,directed,Mars,"Mars,Jupiter,Venus,Uranus","-90.013879,-146.007077,158.134069",May 28 Mars–Jupiter square and Venus symmetric branch
1929_U_Merc_V,1929-10-24,1929-10-24T12:00:00,F16_D_Mercury-Uranus-Venus,directed,Uranus,"Uranus,Mercury,Venus","-176.205995,176.738540",Uranus opposite Mercury/Venus gate
1929_U_Merc_V_M,1929-10-24,1929-10-24T12:00:00,F34_D_Mars-Mercury-Uranus-Venus,directed,Uranus,"Uranus,Mercury,Venus,Mars","-176.205995,176.738540,-146.227137",Opposition gate plus 30-degree Mars routing
1929_J_P_Merc_M,1929-10-24,1929-10-24T12:00:00,F24_D_Jupiter-Mars-Mercury-Pluto,directed,Jupiter,"Jupiter,Pluto,Mercury,Mars","33.829584,116.551505,146.530362",Jupiter–Pluto–Mercury–Mars ladder
1929_FULL8,1929-10-24,1929-10-24T12:00:00,F51_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Pluto,"Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto","82.721920,75.666455,112.700778,-33.829584,156.729724,-101.072085,43.448444",Whole eight-planet assembly
1947_P_S_M,1947-11-29,1947-11-29T12:00:00,F07_D_Mars-Pluto-Saturn,directed,Pluto,"Pluto,Saturn,Mars","7.735071,14.360053",Pluto–Saturn–Mars tiny midpoint
1947_M_V_U,1947-11-29,1947-11-29T12:00:00,F10_D_Mars-Uranus-Venus,directed,Mars,"Mars,Venus,Uranus","119.249063,-64.410329",Mars–Venus–Uranus 60/120/180 gate
1947_Merc_J_V,1947-11-29,1947-11-29T12:00:00,F03_D_Jupiter-Mercury-Venus,directed,Mercury,"Mercury,Jupiter,Venus","19.596776,40.189945",Mercury–Jupiter–Venus 20/20/40 ladder
1947_CHAIN7,1947-11-29,1947-11-29T12:00:00,F47_D_Jupiter-Mars-Mercury-Pluto-Saturn-Uranus-Venus,directed,Pluto,"Pluto,Saturn,Mars,Venus,Uranus,Mercury,Jupiter","7.735071,14.360053,133.609116,-50.050275,93.419171,113.015946",Chained three-module assembly
1947_FULL8,1947-11-29,1947-11-29T12:00:00,F52_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Pluto,"Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto","93.419171,133.609116,14.360053,113.015946,7.735071,-50.050275,57.474697",Whole eight-planet assembly
1978_J_S_P,1978-12-11,1978-12-11T12:00:00,F04_D_Jupiter-Pluto-Saturn,directed,Jupiter,"Jupiter,Saturn,Pluto","35.117394,70.068042",Jupiter–Saturn–Pluto midpoint
1978_P_U_N,1978-12-11,1978-12-11T12:00:00,F18_D_Neptune-Pluto-Uranus,directed,Pluto,"Pluto,Uranus,Neptune","29.927789,59.348518",Pluto–Uranus–Neptune midpoint
1978_Merc_N_M,1978-12-11,1978-12-11T12:00:00,F05_D_Mars-Mercury-Neptune,directed,Mercury,"Mercury,Neptune,Mars","11.159751,22.154919",Mercury–Neptune–Mars midpoint
1978_CHAIN7,1978-12-11,1978-12-11T12:00:00,F46_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus,directed,Jupiter,"Jupiter,Saturn,Pluto,Uranus,Neptune,Mercury,Mars","35.117394,70.068042,99.995831,129.416560,118.256809,140.411727",Three chained midpoint modules
1978_FULL8,1978-12-11,1978-12-11T12:00:00,F53_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Pluto,"Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto","48.188767,21.711937,70.343686,-70.068042,-34.950648,29.927789,59.348518",Whole eight-planet assembly
2000_N_U_V_Merc,2000-03-10,2000-03-10T12:00:00,F36_D_Mercury-Neptune-Uranus-Venus,directed,Neptune,"Neptune,Uranus,Venus,Mercury","12.997027,20.654297,28.128337",Nested Neptune–Uranus–Venus–Mercury rail
2000_N_M_J_S,2000-03-10,2000-03-10T12:00:00,F27_D_Jupiter-Mars-Neptune-Saturn,directed,Neptune,"Neptune,Mars,Jupiter,Saturn","75.046808,88.884185,97.585518",Neptune–Mars–Jupiter–Saturn rail
2000_P_N_S,2000-03-10,2000-03-10T12:00:00,F17_D_Neptune-Pluto-Saturn,directed,Pluto,"Pluto,Neptune,Saturn","52.764491,150.350009",Pluto–Neptune–Saturn closure
2000_FULL8,2000-03-10,2000-03-10T12:00:00,F54_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Neptune,"Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto","28.128337,20.654297,75.046808,88.884185,97.585518,12.997027,-52.764491",Whole eight-planet 7.5-degree lattice
2008_Merc_V_M,2008-09-15,2008-09-15T09:13:00,F06_D_Mars-Mercury-Venus,directed,Mercury,"Mercury,Venus,Mars","0.148539,-1.717721",Mercury–Venus–Mars triple node
2008_P_J_N_U,2008-09-15,2008-09-15T09:13:00,F32_D_Jupiter-Neptune-Pluto-Uranus,directed,Pluto,"Pluto,Jupiter,Neptune,Uranus","14.110198,53.549887,82.076597",Outer ladder module
2008_FULL8,2008-09-15,2008-09-15T09:13:00,F55_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Pluto,"Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto","-69.334709,-69.186170,-71.052430,14.110198,-105.167292,82.076597,53.549887",Whole eight-planet assembly
2020_M_J_P_S,2020-03-11,2020-03-11T12:00:00,F30_D_Jupiter-Mars-Pluto-Saturn,directed,Mars,"Mars,Jupiter,Pluto,Saturn","4.809006,7.918369,12.552217",Four-body nested symmetric compression
2020_S_Merc_N,2020-03-11,2020-03-11T12:00:00,F12_D_Mercury-Neptune-Saturn,directed,Saturn,"Saturn,Mercury,Neptune","29.169429,49.374043",Saturn–Mercury–Neptune 30/20/50 rail
2020_N_U_V,2020-03-11,2020-03-11T12:00:00,F22_D_Neptune-Uranus-Venus,directed,Neptune,"Neptune,Uranus,Venus","45.628819,48.390290",Neptune to Uranus/Venus double node
2020_CHAIN8,2020-03-11,2020-03-11T12:00:00,F56_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Mars,"Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto","41.721646,110.316549,4.809006,12.552217,107.555079,61.926260,7.918369",Whole chained planetary architecture
2021_P_M_S_J_N_U,2021-09-11,2021-09-11T12:00:00,F42_D_Jupiter-Mars-Neptune-Pluto-Saturn-Uranus,directed,Pluto,"Pluto,Mars,Saturn,Jupiter,Neptune,Uranus","-116.728613,13.121030,29.992494,57.401750,110.124197",Pluto-centered directed 0/15/30/60/120 ladder
2021_P_M_S_J_N_U_SHELL,2021-09-11,2021-09-11T12:00:00,F43_S_Jupiter-Mars-Neptune-Pluto-Saturn-Uranus,shell,Pluto,"Pluto,Mars,Saturn,Jupiter,Neptune,Uranus","116.728613,13.121030,29.992494,57.401750,110.124197",Same radial shells with handedness removed
2021_FULL8,2021-09-11,2021-09-11T12:00:00,F57_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Pluto,"Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto","-98.968952,-83.726721,-116.728613,29.992494,13.121030,110.124197,57.401750",Whole eight-planet assembly
2023_P_V_M,2023-10-07,2023-10-07T12:00:00,F08_D_Mars-Pluto-Venus,directed,Pluto,"Pluto,Venus,Mars","-149.200108,-91.040736",Venus–Mars–Pluto 60/90/150 triad
2023_P_N_U,2023-10-07,2023-10-07T12:00:00,F19_D_Neptune-Pluto-Uranus,directed,Pluto,"Pluto,Neptune,Uranus","57.888891,114.563972",Pluto–Neptune–Uranus 60/60/120 triad
2023_P_S_N_U,2023-10-07,2023-10-07T12:00:00,F37_D_Neptune-Pluto-Saturn-Uranus,directed,Pluto,"Pluto,Saturn,Neptune,Uranus","33.262081,57.888891,114.563972",Saturn split inside Pluto–Neptune–Uranus rail
2023_FULL8,2023-10-07,2023-10-07T12:00:00,F58_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Pluto,"Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto","-113.491131,-149.200108,-91.040736,105.933941,33.262081,114.563972,57.888891",Whole eight-planet assembly
2025_J_V_Merc_M,2025-09-10,2025-09-10T18:23:00,F26_D_Jupiter-Mars-Mercury-Venus,directed,Jupiter,"Jupiter,Venus,Mercury,Mars","29.789243,56.284281,92.752629",Jupiter–Venus–Mercury–Mars 0/30/60/90 ladder
2025_P_S_N_U,2025-09-10,2025-09-10T18:23:00,F38_D_Neptune-Pluto-Saturn-Uranus,directed,Pluto,"Pluto,Saturn,Neptune,Uranus","57.696032,59.489055,119.836400",Pluto–Saturn/Neptune–Uranus 0/60/120 scaffold
2025_FULL8,2025-09-10,2025-09-10T18:23:00,F59_D_Jupiter-Mars-Mercury-Neptune-Pluto-Saturn-Uranus-Venus,directed,Pluto,"Mercury,Venus,Mars,Jupiter,Saturn,Uranus,Neptune,Pluto","-135.783734,-162.278772,-99.315387,167.931985,57.696032,119.836400,59.489055",Whole dual-ladder assembly
