rank,date_12ut,jd,robust_score,matched_unique_modules,selected_modules_json
1,1594-02-21T12:00:00Z,2303308.0,3.6592607498168945,2,"[{""module_id"":""1913_S_Merc_V"",""source_group"":""1913-12-23"",""family_id"":""F15_D_Mercury-Saturn-Venus"",""excess_surprisal"":2.5681910514831543,""n_bodies"":3,""note"":""Saturn opposite Mercury/Venus fork""},{""module_id"":""1775_Merc_U_S"",""source_group"":""1775-04-19"",""family_id"":""F14_D_Mercury-Saturn-Uranus"",""excess_surprisal"":1.0910696983337402,""n_bodies"":3,""note"":""Mercury\u2013Uranus\u2013Saturn 60/120/180 module""}]"
2,1504-01-25T12:00:00Z,2270408.0,3.0910592079162598,2,"[{""module_id"":""1775_Merc_U_S"",""source_group"":""1775-04-19"",""family_id"":""F14_D_Mercury-Saturn-Uranus"",""excess_surprisal"":2.3920998573303223,""n_bodies"":3,""note"":""Mercury\u2013Uranus\u2013Saturn 60/120/180 module""},{""module_id"":""1913_S_Merc_V"",""source_group"":""1913-12-23"",""family_id"":""F15_D_Mercury-Saturn-Venus"",""excess_surprisal"":0.6989593505859375,""n_bodies"":3,""note"":""Saturn opposite Mercury/Venus fork""}]"
3,1684-02-06T12:00:00Z,2336165.0,2.8745245933532715,2,"[{""module_id"":""1913_S_Merc_V"",""source_group"":""1913-12-23"",""family_id"":""F15_D_Mercury-Saturn-Venus"",""excess_surprisal"":1.6387720108032227,""n_bodies"":3,""note"":""Saturn opposite Mercury/Venus fork""},{""module_id"":""1775_Merc_U_S"",""source_group"":""1775-04-19"",""family_id"":""F14_D_Mercury-Saturn-Uranus"",""excess_surprisal"":1.2357525825500488,""n_bodies"":3,""note"":""Mercury\u2013Uranus\u2013Saturn 60/120/180 module""}]"
4,0976-04-09T12:00:00Z,2077636.0,2.8692212104797363,1,"[{""module_id"":""2026B_N_P_V"",""source_group"":""2026-09-17"",""family_id"":""F21_D_Neptune-Pluto-Venus"",""excess_surprisal"":2.8692212104797363,""n_bodies"":3,""note"":""Neptune\u2013Pluto\u2013Venus 60/90/150 triad""}]"
5,0994-07-30T12:00:00Z,2084322.0,2.8692212104797363,1,"[{""module_id"":""2026B_N_U_V"",""source_group"":""2026-09-17"",""family_id"":""F23_D_Neptune-Uranus-Venus"",""excess_surprisal"":2.8692212104797363,""n_bodies"":3,""note"":""Venus near antipode of Uranus\u2013Neptune midpoint""}]"
6,0487-09-03T12:00:00Z,1899179.0,2.8692212104797363,1,"[{""module_id"":""1918C_V_J_M"",""source_group"":""1918-05-22"",""family_id"":""F01_D_Jupiter-Mars-Venus"",""excess_surprisal"":2.8692212104797363,""n_bodies"":3,""note"":""May 22 Venus\u2013Jupiter\u2013Mars triad""}]"
7,0898-03-31T12:00:00Z,2049138.0,2.711500644683838,2,"[{""module_id"":""1978_Merc_N_M"",""source_group"":""1978-12-11"",""family_id"":""F05_D_Mars-Mercury-Neptune"",""excess_surprisal"":1.5904674530029297,""n_bodies"":3,""note"":""Mercury\u2013Neptune\u2013Mars midpoint""},{""module_id"":""1918B_Merc_J_V"",""source_group"":""1918-04-17"",""family_id"":""F02_D_Jupiter-Mercury-Venus"",""excess_surprisal"":1.1210331916809082,""n_bodies"":3,""note"":""April 17 Mercury\u2013Jupiter\u2013Venus 30/60/90""}]"
8,0279-06-09T12:00:00Z,1823122.0,2.6654577255249023,2,"[{""module_id"":""1775_Merc_U_S"",""source_group"":""1775-04-19"",""family_id"":""F14_D_Mercury-Saturn-Uranus"",""excess_surprisal"":2.024123191833496,""n_bodies"":3,""note"":""Mercury\u2013Uranus\u2013Saturn 60/120/180 module""},{""module_id"":""1913_S_Merc_V"",""source_group"":""1913-12-23"",""family_id"":""F15_D_Mercury-Saturn-Venus"",""excess_surprisal"":0.6413345336914062,""n_bodies"":3,""note"":""Saturn opposite Mercury/Venus fork""}]"
9,1487-06-07T12:00:00Z,2264333.0,2.5681910514831543,1,"[{""module_id"":""1929_U_Merc_V_M"",""source_group"":""1929-10-24"",""family_id"":""F34_D_Mars-Mercury-Uranus-Venus"",""excess_surprisal"":2.5681910514831543,""n_bodies"":4,""note"":""Opposition gate plus 30-degree Mars routing""}]"
10,0861-11-29T12:00:00Z,2035867.0,2.5681910514831543,1,"[{""module_id"":""2023_P_V_M"",""source_group"":""2023-10-07"",""family_id"":""F08_D_Mars-Pluto-Venus"",""excess_surprisal"":2.5681910514831543,""n_bodies"":3,""note"":""Venus\u2013Mars\u2013Pluto 60/90/150 triad""}]"
